stage,config,classifier,scenario,n,pos,roc_auc,pr_auc,acc,precision,recall,f1,eer,brier,ece
features,D_perm,gbt,jpeg,1536,792,0.485614,0.509187,0.477214,0.487751,0.276515,0.352941,0.499328,0.353519,0.291649
features,D_perm,gbt,webp,1536,792,0.511418,0.527119,0.501953,0.516646,0.52904,0.52277,0.486294,0.318966,0.238426
features,D_perm,gbt,blur+jpeg,1536,792,0.520614,0.525338,0.479818,0.294118,0.00631313,0.0123609,0.481122,0.358843,0.323823
features,E_shannon_renyi,logreg,clean,1536,792,0.995744,0.994991,0.977214,0.98094,0.974747,0.977834,0.021485,0.0192311,0.012524
features,E_shannon_renyi,logreg,blur,1536,792,0.665479,0.631777,0.567708,0.545845,0.962121,0.696527,0.382779,0.361909,0.356931
features,E_shannon_renyi,logreg,jpeg,1536,792,0.465553,0.495247,0.490234,0.539823,0.0770202,0.134807,0.526026,0.480116,0.465947
features,E_shannon_renyi,logreg,webp,1536,792,0.462753,0.503657,0.489583,0.633333,0.0239899,0.0462287,0.537125,0.505689,0.504814
features,E_shannon_renyi,logreg,blur+jpeg,1536,792,0.436662,0.491466,0.492188,0.568182,0.0631313,0.113636,0.552725,0.485917,0.476961
features,E_shannon_renyi,rf,clean,1536,792,0.9736,0.976124,0.91276,0.931759,0.896465,0.913771,0.0904407,0.0846251,0.12962
features,E_shannon_renyi,rf,blur,1536,792,0.657478,0.636765,0.611979,0.602941,0.724747,0.658257,0.388034,0.236793,0.0745942
features,E_shannon_renyi,rf,jpeg,1536,792,0.499489,0.505146,0.482422,0.444444,0.0151515,0.029304,0.504541,0.382466,0.34457
features,E_shannon_renyi,rf,webp,1536,792,0.504926,0.527292,0.486328,1,0.00378788,0.00754717,0.505499,0.415405,0.39924
features,E_shannon_renyi,rf,blur+jpeg,1536,792,0.52012,0.528156,0.485026,0.6,0.00378788,0.00752823,0.489145,0.403246,0.383214
features,E_shannon_renyi,svm,clean,1536,792,0.978355,0.978888,0.938802,0.94402,0.936869,0.940431,0.061217,0.0523142,0.0239928
features,E_shannon_renyi,svm,blur,1536,792,0.645236,0.619621,0.596354,0.573883,0.843434,0.683027,0.388034,0.305318,0.246707
features,E_shannon_renyi,svm,jpeg,1536,792,0.4803,0.487202,0.47526,0.365385,0.0239899,0.0450237,0.521485,0.48452,0.478377
features,E_shannon_renyi,svm,webp,1536,792,0.477247,0.505098,0.486979,0.666667,0.010101,0.0199005,0.521485,0.505208,0.503014
features,E_shannon_renyi,svm,blur+jpeg,1536,792,0.488207,0.509288,0.48112,0.4,0.0126263,0.0244798,0.505845,0.495429,0.493098
features,E_shannon_renyi,gbt,clean,1536,792,0.991949,0.993,0.952474,0.963871,0.943182,0.953414,0.046208,0.0335143,0.0170574
features,E_shannon_renyi,gbt,blur,1536,792,0.676993,0.659608,0.630208,0.606262,0.806818,0.692308,0.366549,0.289482,0.235535
features,E_shannon_renyi,gbt,jpeg,1536,792,0.503233,0.502824,0.483073,0.478261,0.0277778,0.052506,0.494827,0.489731,0.481244
features,E_shannon_renyi,gbt,webp,1536,792,0.512438,0.530522,0.486979,0.7,0.00883838,0.0174564,0.493483,0.50456,0.504013
features,E_shannon_renyi,gbt,blur+jpeg,1536,792,0.506892,0.519848,0.485026,0.571429,0.00505051,0.0100125,0.492811,0.502244,0.50054
features,F_shannon_tsallis,logreg,clean,1536,792,0.994907,0.994894,0.975911,0.983355,0.969697,0.976478,0.021485,0.0183193,0.0125326
features,F_shannon_tsallis,logreg,blur,1536,792,0.693372,0.652817,0.608724,0.570584,0.974747,0.719814,0.356122,0.32759,0.323434
features,F_shannon_tsallis,logreg,jpeg,1536,792,0.464446,0.477338,0.479167,0.366667,0.0138889,0.026764,0.517575,0.506402,0.504071
features,F_shannon_tsallis,logreg,webp,1536,792,0.478817,0.502378,0.485677,0.5625,0.0113636,0.0222772,0.513665,0.511421,0.512136
features,F_shannon_tsallis,logreg,blur+jpeg,1536,792,0.442313,0.482319,0.484375,0.5,0.00378788,0.0075188,0.539732,0.511404,0.511134
features,F_shannon_tsallis,rf,clean,1536,792,0.980004,0.98199,0.919922,0.936115,0.906566,0.921103,0.0755132,0.0750089,0.126005
features,F_shannon_tsallis,rf,blur,1536,792,0.666059,0.644633,0.620443,0.611765,0.722222,0.66242,0.386649,0.235074,0.076556
features,F_shannon_tsallis,rf,jpeg,1536,792,0.502753,0.501861,0.479818,0.333333,0.00883838,0.0172202,0.496721,0.387619,0.356871
features,F_shannon_tsallis,rf,webp,1536,792,0.511784,0.527109,0.485677,1,0.00252525,0.00503778,0.501079,0.424969,0.412187
features,F_shannon_tsallis,rf,blur+jpeg,1536,792,0.511144,0.524346,0.485026,0.666667,0.00252525,0.00503145,0.491386,0.417454,0.402912
features,F_shannon_tsallis,svm,clean,1536,792,0.981991,0.982971,0.943359,0.956016,0.933081,0.944409,0.0592416,0.046019,0.0153663
features,F_shannon_tsallis,svm,blur,1536,792,0.660398,0.616277,0.619141,0.592,0.840909,0.694836,0.385427,0.281149,0.212639
features,F_shannon_tsallis,svm,jpeg,1536,792,0.490983,0.50039,0.480469,0.363636,0.010101,0.019656,0.507189,0.488495,0.48269
features,F_shannon_tsallis,svm,webp,1536,792,0.469024,0.502336,0.486328,1,0.00378788,0.00754717,0.533847,0.507406,0.506386
features,F_shannon_tsallis,svm,blur+jpeg,1536,792,0.484359,0.505602,0.484375,0.5,0.00378788,0.0075188,0.503238,0.502948,0.501796
features,F_shannon_tsallis,gbt,clean,1536,792,0.995433,0.995787,0.963542,0.975452,0.953283,0.96424,0.0351499,0.0283413,0.015228
features,F_shannon_tsallis,gbt,blur,1536,792,0.676291,0.649605,0.630859,0.603116,0.830808,0.698885,0.380885,0.303704,0.265285
features,F_shannon_tsallis,gbt,jpeg,1536,792,0.467104,0.475265,0.476562,0.35,0.0176768,0.0336538,0.518838,0.504947,0.498951
features,F_shannon_tsallis,gbt,webp,1536,792,0.486572,0.508517,0.483073,0.333333,0.00252525,0.00501253,0.517575,0.512533,0.513188
features,F_shannon_tsallis,gbt,blur+jpeg,1536,792,0.480137,0.492535,0.483724,0.4,0.00252525,0.00501882,0.511017,0.512946,0.512069
features,G_shannon_perm,logreg,clean,1536,792,0.992726,0.992385,0.970052,0.975765,0.965909,0.970812,0.0280018,0.0261091,0.0284762
features,G_shannon_perm,logreg,blur,1536,792,0.623008,0.59729,0.54362,0.632653,0.27399,0.382379,0.395182,0.371679,0.348288
features,G_shannon_perm,logreg,jpeg,1536,792,0.46615,0.487945,0.483724,0.485714,0.0214646,0.0411125,0.521485,0.493217,0.483827
features,G_shannon_perm,logreg,webp,1536,792,0.464562,0.49437,0.481771,0.25,0.00252525,0.005,0.528002,0.511744,0.511466
features,G_shannon_perm,logreg,blur+jpeg,1536,792,0.453493,0.49422,0.483724,0,0,0,0.532543,0.515423,0.515724
features,G_shannon_perm,rf,clean,1536,792,0.962313,0.965805,0.895833,0.917989,0.876263,0.896641,0.105531,0.101169,0.14439
features,G_shannon_perm,rf,blur,1536,792,0.626612,0.603523,0.591146,0.619186,0.537879,0.575676,0.403674,0.242449,0.0720812
features,G_shannon_perm,rf,jpeg,1536,792,0.499419,0.508028,0.481771,0.4,0.010101,0.0197044,0.489736,0.369657,0.329742
features,G_shannon_perm,rf,webp,1536,792,0.496383,0.525578,0.486328,1,0.00378788,0.00754717,0.50668,0.409463,0.391803
features,G_shannon_perm,rf,blur+jpeg,1536,792,0.520181,0.528636,0.485677,1,0.00252525,0.00503778,0.485541,0.37598,0.348355
features,G_shannon_perm,svm,clean,1536,792,0.973892,0.975193,0.916016,0.925546,0.910354,0.917887,0.0833333,0.0614148,0.0180171
features,G_shannon_perm,svm,blur,1536,792,0.51328,0.525383,0.484375,0,0,0,0.491467,0.373477,0.351558
