
TRAIN: 360040 sources x 4 variants = 1440160 samples
  categories: 20  sources/category: [18002]
  real sources: 180020   fake sources: 180020
  per category/label, each of clean|blur|jpeg|noise gets exactly 9001 samples
  severity levels (index 0/1/2) over all sources: 120040 / 120000 / 120000
  max level imbalance within any category/label group: 1 sample(s)  [40 groups]

VAL: 8000 sources x 4 variants = 32000 samples
  categories: 20  sources/category: [400]
  real sources: 4000   fake sources: 4000
  per category/label, each of clean|blur|jpeg|noise gets exactly 200 samples
  severity levels (index 0/1/2) over all sources: 2680 / 2680 / 2640
  max level imbalance within any category/label group: 1 sample(s)  [40 groups]
  epoch 3 step 14600  loss=0.1242  (4111s)
  epoch 3 step 14800  loss=0.1242  (4170s)
  epoch 3 step 15000  loss=0.1242  (4229s)
  epoch 3 step 15200  loss=0.1242  (4292s)
  epoch 3 step 15400  loss=0.1242  (4355s)
  epoch 3 step 15600  loss=0.1241  (4417s)
  epoch 3 step 15800  loss=0.1241  (4480s)
  epoch 3 step 16000  loss=0.1241  (4561s)
  epoch 3 step 16200  loss=0.1241  (4624s)
  epoch 3 step 16400  loss=0.1241  (4689s)
  epoch 3 step 16600  loss=0.1241  (4752s)
  epoch 3 step 16800  loss=0.1241  (4816s)
  epoch 3 step 17000  loss=0.1241  (4878s)
  epoch 3 step 17200  loss=0.1241  (4942s)
  epoch 3 step 17400  loss=0.1240  (5006s)
  epoch 3 step 17600  loss=0.1240  (5074s)
  epoch 3 step 17800  loss=0.1240  (5139s)
  epoch 3 step 18000  loss=0.1240  (5204s)
  epoch 3 step 18200  loss=0.1240  (5270s)
  epoch 3 step 18400  loss=0.1239  (5339s)
  epoch 3 step 18600  loss=0.1239  (5404s)
  epoch 3 step 18800  loss=0.1239  (5472s)
  epoch 3 step 19000  loss=0.1239  (5539s)
  epoch 3 step 19200  loss=0.1239  (5605s)
  epoch 3 step 19400  loss=0.1239  (5674s)
  epoch 3 step 19600  loss=0.1239  (5740s)
  epoch 3 step 19800  loss=0.1239  (5804s)
  epoch 3 step 20000  loss=0.1238  (5869s)
  epoch 3 step 20200  loss=0.1238  (5935s)
  epoch 3 step 20400  loss=0.1238  (5996s)
  epoch 3 step 20600  loss=0.1238  (6060s)
  epoch 3 step 20800  loss=0.1238  (6121s)
  epoch 3 step 21000  loss=0.1238  (6184s)
  epoch 3 step 21200  loss=0.1237  (6244s)
  epoch 3 step 21400  loss=0.1237  (6303s)
  epoch 3 step 21600  loss=0.1237  (6360s)
  epoch 3 step 21800  loss=0.1237  (6416s)
  epoch 3 step 22000  loss=0.1237  (6473s)
  epoch 3 step 22200  loss=0.1237  (6531s)
  epoch 3 step 22400  loss=0.1236  (6588s)
[epoch 3] loss=0.1236 lr=1.00e-04 train=6616s
      ai: acc=0.7522 ap=0.8622  blur: acc=0.9914 ap=0.9985  jpeg: acc=0.9988 ap=0.9999  noise: acc=0.9995 ap=1.0000
      ai AP by variant:  clean=0.9994  blur=0.8337  jpeg=0.6891  noise=0.6885
  epoch 4 step 200  loss=0.1222  (55s)
  epoch 4 step 400  loss=0.1207  (105s)
  epoch 4 step 600  loss=0.1215  (158s)
  epoch 4 step 800  loss=0.1218  (230s)
  epoch 4 step 1000  loss=0.1217  (281s)
  epoch 4 step 1200  loss=0.1214  (332s)
  epoch 4 step 1400  loss=0.1216  (386s)
  epoch 4 step 1600  loss=0.1214  (441s)
  epoch 4 step 1800  loss=0.1217  (495s)
  epoch 4 step 2000  loss=0.1218  (548s)
  epoch 4 step 2200  loss=0.1216  (602s)
  epoch 4 step 2400  loss=0.1217  (658s)
  epoch 4 step 2600  loss=0.1216  (713s)
  epoch 4 step 2800  loss=0.1215  (767s)
  epoch 4 step 3000  loss=0.1216  (822s)
  epoch 4 step 3200  loss=0.1216  (878s)
  epoch 4 step 3400  loss=0.1215  (935s)
  epoch 4 step 3600  loss=0.1216  (991s)
  epoch 4 step 3800  loss=0.1217  (1047s)
  epoch 4 step 4000  loss=0.1217  (1105s)
  epoch 4 step 4200  loss=0.1217  (1162s)
  epoch 4 step 4400  loss=0.1217  (1220s)
  epoch 4 step 4600  loss=0.1217  (1278s)
  epoch 4 step 4800  loss=0.1217  (1335s)
  epoch 4 step 5000  loss=0.1217  (1390s)
  epoch 4 step 5200  loss=0.1216  (1447s)
  epoch 4 step 5400  loss=0.1216  (1502s)
  epoch 4 step 5600  loss=0.1215  (1561s)
  epoch 4 step 5800  loss=0.1215  (1616s)
  epoch 4 step 6000  loss=0.1215  (1676s)
  epoch 4 step 6200  loss=0.1215  (1730s)
  epoch 4 step 6400  loss=0.1215  (1788s)
  epoch 4 step 6600  loss=0.1215  (1843s)
  epoch 4 step 6800  loss=0.1215  (1901s)
